,A,group,Observed Y,distance,model,run_number
193,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.387578246650028,"$X_1, X_2,$
$Z_{A'}, Z_A$",8
194,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,3.0256963288131162,"$X_1, X_2,$
$Z_{A'}, Z_A$",8
195,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.3690280915461077,"$X_1, X_2,$
$Z_{A'}, Z_A$",8
196,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.275358135497674,"$X_1, X_2,$
$Z_{A'}, Z_A$",9
197,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.2331640029708657,"$X_1, X_2,$
$Z_{A'}, Z_A$",9
198,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,3.1215262994854065,"$X_1, X_2,$
$Z_{A'}, Z_A$",9
199,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.395709712408677,"$X_1, X_2,$
$Z_{A'}, Z_A$",9
200,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.0097430731555459,Random,0
201,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.014623944735893346,Random,0
202,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,0.0072010594401916705,Random,0
203,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,0.017487349902182814,Random,0
204,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.009702517653666476,Random,1
205,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.031995170516097016,Random,1
206,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,0.012341779076325388,Random,1
207,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,0.024454080016031554,Random,1
208,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.006009625040215738,Random,2
209,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.021041622683364736,Random,2
210,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,0.008181856269187548,Random,2
211,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,0.02237712833563199,Random,2
212,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.01218237618421103,Random,3
213,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.042432634948162296,Random,3
214,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,0.017004500363581698,Random,3
215,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,0.03627952196118933,Random,3
216,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.007955772702484154,Random,4
217,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.019124525724845576,Random,4
218,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,0.018484710238554136,Random,4
219,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,0.01129863395718722,Random,4
220,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.00966310593339248,Random,5
221,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.02566586103918045,Random,5
222,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,0.007540911813483042,Random,5
223,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,0.040243914229924016,Random,5
224,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.00751770736377555,Random,6
225,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.012679496038031424,Random,6
